concurrency,avg_latency,median_latency,p95_latency,throughput_jobs_sec,success_rate_pct,total_jobs,errors,avg_cpu_pct,avg_mem_delta_mb
1,0.6853,0.6853,0.6853,7.29,100.0,5,0,37.5,-14.4
1,0.6863,0.6863,0.6872,3.64,100.0,5,0,26.3,-10.2
1,0.6879,0.6873,0.6906,2.42,100.0,5,0,38.5,-4.3
1,0.6879,0.6876,0.6905,1.82,100.0,5,0,34.1,-4.1
1,0.6863,0.6873,0.6904,1.46,100.0,5,0,32.2,-2.8
5,1.6771,1.6235,2.7421,8.73,100.0,25,0,37.6,10.0
5,1.9079,1.9417,3.0488,4.12,100.0,25,0,46.0,9.3
5,1.7055,1.6302,2.9649,3.12,100.0,25,0,55.9,2.7
5,1.6007,1.6168,2.8811,2.52,100.0,25,0,48.5,1.3
5,1.7064,1.6235,3.1327,1.9,100.0,25,0,46.9,-2.0
10,3.9872,4.0678,6.4804,7.4,100.0,50,0,41.5,12.0
10,3.2296,2.9222,6.1754,4.33,100.0,50,0,51.3,3.8
10,3.5981,3.3642,6.7543,2.6,100.0,50,0,54.8,-40.6
10,3.7367,3.5491,6.7536,1.92,100.0,50,0,54.1,-26.0
10,3.8045,3.7154,6.7543,1.51,100.0,50,0,53.9,-20.7
25,9.9951,10.0308,17.71,6.66,100.0,125,0,69.9,18.3
25,9.3872,9.4702,16.9189,3.58,100.0,125,0,56.0,0.7
25,8.7695,8.7482,16.2519,2.5,100.0,125,0,48.6,5.4
25,8.4577,8.4171,15.9758,1.94,100.0,125,0,45.6,0.1
25,8.3087,8.3314,15.3757,1.58,100.0,125,0,42.3,3.3
50,15.5542,15.7918,28.304,8.06,98.4,250,4,31.6,70.1
50,16.1465,16.4264,28.526,3.9,95.2,250,12,47.3,43.0
50,16.6632,17.0401,28.7216,2.48,91.2,250,22,55.2,19.1
50,16.9866,17.3016,28.767,1.75,85.6,250,36,59.0,2.8
50,16.7844,16.7389,28.6194,0.88,70.8,250,73,57.4,57.6
